ts;code;level;detail
2026-09-11 12:00:13;SONSTIGES;WARNING;Legionellenprophylaxe ABGEBROCHEN (Timeout: 4.0h >= 4h) - Ziel 60C nicht erreicht
2026-09-11 12:00:26;WARN_BOILERMAX;WARNING;BOILERMAX AUS: unten 57.1C >= 49.0C - Mindestlaufzeit gebrochen, Freigabe erst <= 47.0C
2026-09-11 12:00:40;WARN_TEMP_NORMALBEREICH;WARNING;Temperatur ueber Normalbereich: 57.3°C >= 51.0°C (kein Abschalten)
2026-09-11 12:00:40;CYCLE_END_WE;Einspeisung;
2026-09-11 12:21:12;FORECAST;2026-09-11;3.03/5.17
2026-09-11 18:21:14;FORECAST;2026-09-11;3.00/5.14
2026-09-11 19:00:13;CYCLE_END_WE;Abweichung;
2026-09-11 20:34:01;WARN_CALCSTART_NACHSPERRE;WARNING;CalcStart-Hinweis: CalcStart-Vorheizen wird um 19:00 Uhr von der Nachtsperre abgeschnitten (Zielzeit 19.72:00 wird nicht voll erreicht)
2026-09-11 20:34:15;WARN_CALCSTART_NACHSPERRE;WARNING;CalcStart-Hinweis: CalcStart-Vorheizen wird um 19:00 Uhr von der Nachtsperre abgeschnitten (Zielzeit 19.85:00 wird nicht voll erreicht)
2026-09-11 20:34:52;CYCLE_END_WE;Keine Regel aktiv;
2026-09-12 00:00:26;CYCLE_END_WE;Wochenende;
2026-09-12 00:21:23;FORECAST;2026-09-12;5.25/5.15
2026-09-12 03:13:34;ERR_TELEGRAM_UPDATES;ERROR;"Fehler beim Abrufen von Telegram-Updates: Status 502, Details: {""ok"":false,""error_code"":502,""description"":""Bad Gateway""}"
2026-09-12 03:17:26;ERR_NETZWERK_ALLE_VERSUCHE;WARNING;Alle Versuche fehlgeschlagen (Netzwerkfehler).
2026-09-12 06:21:27;FORECAST;2026-09-12;5.18/4.97
2026-09-12 09:00:17;CYCLE_START_WE;Abweichung;
2026-09-12 09:15:52;CYCLE_END_WE;Keine Regel aktiv;
2026-09-12 09:27:13;CYCLE_START_WE;Abweichung;
2026-09-12 09:27:40;CYCLE_START_WE;Batterie;
2026-09-12 09:29:40;CYCLE_START_WE;AdaptivePV;
2026-09-12 10:01:09;WARN_ZU_FRUEH;WARNING;Learning: ZU FRUEH geheizt - 45 min nach Nicht-PV-Zyklus (2026-09-12T09:16:05.879725) kommen 2343W Einspeisung
2026-09-12 10:03:21;CYCLE_END_WE;Einspeisung;
2026-09-12 10:13:21;CYCLE_END_WE;Batterie;
2026-09-12 10:29:23;CYCLE_END_WE;Komfort;
2026-09-12 10:57:27;CYCLE_START_WE;AdaptivePV;
2026-09-12 11:07:14;CYCLE_END_WE;Einspeisung;
2026-09-12 11:18:50;CYCLE_END_WE;Batterie;
2026-09-12 11:25:57;CYCLE_END_WE;Komfort;
2026-09-12 11:36:38;CYCLE_START_WE;AdaptivePV;
2026-09-12 11:37:05;CYCLE_START_WE;Einspeisung;
2026-09-12 11:42:53;CYCLE_START_WE;AdaptivePV;
2026-09-12 11:47:45;CYCLE_END_WE;Einspeisung;
2026-09-12 11:54:02;CYCLE_END_WE;Batterie;
2026-09-12 11:56:00;CYCLE_END_WE;Komfort;
2026-09-12 11:56:27;WARN_TAKTSCHUTZ;WARNING;Taktschutz aktiv: 10 Wechsel/h >= 8, zusaetzliche Pause 15 min (Meldung 1x pro Episode)
2026-09-12 11:57:35;CYCLE_START_WE;AdaptivePV;
2026-09-12 11:58:16;CYCLE_START_WE;Einspeisung;
2026-09-12 12:21:37;FORECAST;2026-09-12;5.13/4.41
2026-09-12 12:34:06;CYCLE_END_WE;Komfort;
2026-09-12 12:44:20;CYCLE_START_WE;AdaptivePV;
2026-09-12 12:44:48;CYCLE_START_WE;Einspeisung;
2026-09-12 13:04:10;CYCLE_END_WE;Batterie;
2026-09-12 13:04:51;CYCLE_START_WE;Einspeisung;
2026-09-12 13:30:29;CYCLE_START_WE;AdaptivePV;
2026-09-12 13:35:37;CYCLE_START_WE;Einspeisung;
2026-09-12 14:17:44;WARN_BOILERMAX;WARNING;BOILERMAX AUS: unten 49.1C >= 49.0C - Mindestlaufzeit gebrochen, Freigabe erst <= 47.0C
2026-09-12 15:02:32;WARN_BOILERMAX;WARNING;BOILERMAX AUS: unten 49.0C >= 49.0C - Mindestlaufzeit gebrochen, Freigabe erst <= 47.0C
2026-09-12 15:28:25;CYCLE_END_WE;Batterie;
2026-09-12 15:44:25;CYCLE_END_WE;Komfort;
2026-09-12 16:21:21;CYCLE_START_WE;AdaptivePV;
2026-09-12 16:30:04;CYCLE_END_WE;Einspeisung;
2026-09-12 16:31:25;WARN_LCD;WARNING;LCD Schreibfehler (Versuch 1/3): [Errno 121] Remote I/O error
2026-09-12 16:58:45;CYCLE_END_WE;Batterie;
2026-09-12 17:19:26;CYCLE_END_WE;Komfort;
2026-09-12 17:45:28;CYCLE_START_WE;AdaptivePV;
2026-09-12 17:51:44;CYCLE_START_WE;Batterie;
2026-09-12 17:57:17;CYCLE_END_WE;Einspeisung;
2026-09-12 17:59:32;CYCLE_END_WE;Batterie;
2026-09-12 17:59:59;CYCLE_END_WE;Komfort;
2026-09-12 18:01:04;CYCLE_START_WE;AdaptivePV;
2026-09-12 18:06:30;ERR_NETZWERK_ALLE_VERSUCHE;WARNING;Alle Versuche fehlgeschlagen (Netzwerkfehler).
2026-09-12 18:06:55;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 1/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:07:04;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 2/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:07:04;ERR_NETZWERK_ALLE_VERSUCHE;WARNING;Alle Versuche fehlgeschlagen (Netzwerkfehler).
2026-09-12 18:07:11;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 3/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:07:11;ERR_FALLBACK_DATEN;ERROR;Maximale Wiederholungen erreicht, verwende Fallback-Daten.
2026-09-12 18:07:28;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 1/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:07:35;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 2/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:07:38;ERR_NETZWERK_ALLE_VERSUCHE;WARNING;Alle Versuche fehlgeschlagen (Netzwerkfehler).
2026-09-12 18:07:43;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 3/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:07:43;ERR_FALLBACK_DATEN;ERROR;Maximale Wiederholungen erreicht, verwende Fallback-Daten.
2026-09-12 18:08:00;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 1/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:08:08;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 2/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:08:11;ERR_NETZWERK_ALLE_VERSUCHE;WARNING;Alle Versuche fehlgeschlagen (Netzwerkfehler).
2026-09-12 18:08:15;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 3/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:08:15;ERR_FALLBACK_DATEN;ERROR;Maximale Wiederholungen erreicht, verwende Fallback-Daten.
2026-09-12 18:08:32;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 1/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:08:40;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 2/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:08:44;ERR_NETZWERK_ALLE_VERSUCHE;WARNING;Alle Versuche fehlgeschlagen (Netzwerkfehler).
2026-09-12 18:08:47;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 3/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:08:47;ERR_FALLBACK_DATEN;ERROR;Maximale Wiederholungen erreicht, verwende Fallback-Daten.
2026-09-12 18:09:04;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 1/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:09:12;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 2/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:09:17;ERR_NETZWERK_ALLE_VERSUCHE;WARNING;Alle Versuche fehlgeschlagen (Netzwerkfehler).
2026-09-12 18:09:20;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 3/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:09:20;ERR_FALLBACK_DATEN;ERROR;Maximale Wiederholungen erreicht, verwende Fallback-Daten.
2026-09-12 18:09:36;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 1/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:09:44;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 2/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:09:50;ERR_NETZWERK_ALLE_VERSUCHE;WARNING;Alle Versuche fehlgeschlagen (Netzwerkfehler).
2026-09-12 18:09:52;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 3/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:09:52;ERR_FALLBACK_DATEN;ERROR;Maximale Wiederholungen erreicht, verwende Fallback-Daten.
2026-09-12 18:10:09;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 1/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
